TTS0001291_+	1291	1311	+	internal
TTS0001446_-	1426	1446	-	antisense
TTS0002115_-	2095	2115	-	antisense
TTS0002854_+	2854	2874	+	internal
TTS0003074_+	3074	3094	+	internal
TTS0004727_+	4727	4747	+	internal
TTS0006529_-	6509	6529	-	primary
TTS0006578_+	6578	6598	+	primary
TTS0007193_-	7173	7193	-	internal
TTS0007623_-	7603	7623	-	primary
TTS0007655_+	7635	7655	-	primary
TTS0007676_+	7676	7696	+	antisense
TTS0007963_-	7943	7963	-	internal
TTS0008696_+	8696	8716	+	antisense
TTS0008753_-	8733	8753	-	antisense
TTS0008753_-	8733	8753	-	primary
TTS0008805_+	8805	8825	+	antisense
TTS0008805_+	8805	8825	+	primary
TTS0008981_+	8981	9001	+	internal
TTS0009746_-	9726	9746	-	antisense
TTS0010482_+	10482	10502	+	internal
TTS0010730_+	10730	10750	+	antisense
TTS0010730_+	10730	10750	+	internal
TTS0011386_+	11386	11406	+	primary
TTS0011475_-	11455	11475	-	antisense
TTS0011475_-	11455	11475	-	primary
TTS0011847_-	11827	11847	-	antisense
TTS0011890_+	11890	11910	+	internal
TTS0012337_+	12337	12357	+	primary
TTS0013217_+	13217	13237	+	internal
TTS0013559_-	13539	13559	-	internal
TTS0014152_+	14152	14172	+	primary
TTS0014481_-	14461	14481	-	antisense
TTS0014935_+	14935	14955	+	primary
TTS0015701_+	15701	15721	+	internal
TTS0015701_+	15701	15721	+	primary
TTS0016006_-	15986	16006	-	antisense
TTS0016006_-	15986	16006	-	antisense
TTS0016167_-	16147	16167	-	antisense
TTS0016210_+	16210	16230	+	internal
TTS0021185_-	21165	21185	-	primary
TTS0022598_-	22578	22598	-	primary
TTS0023872_-	23852	23872	-	primary
TTS0023946_+	23946	23966	+	primary
TTS0024823_-	24803	24823	-	antisense
TTS0024823_-	24803	24823	-	antisense
TTS0024873_+	24873	24893	+	primary
TTS0024919_-	24899	24919	-	antisense
TTS0025908_-	25888	25908	-	internal
TTS0025908_-	25888	25908	-	primary
TTS0025960_+	25960	25980	+	antisense
TTS0027316_-	27296	27316	-	primary
TTS0027367	27367	27387	+	primary
TTS0027415_-	27395	27415	-	secondary
TTS0028840_+	28840	28860	+	antisense
TTS0029343_-	29323	29343	-	primary
TTS0029394_+	29394	29414	+	primary
TTS0029961_+	29961	29981	+	internal
TTS0030870_+	30870	30890	+	primary
TTS0031317_-	31297	31317	-	antisense
TTS0031317_-	31297	31317	-	antisense
TTS0032338_+	32338	32358	+	primary
TTS0034367_+	34367	34387	+	internal
TTS0034560_+	34560	34580	+	internal
TTS0037101_-	37081	37101	-	antisense
TTS0037829_+	37829	37849	+	internal
TTS0037829_+	37829	37849	+	primary
TTS0039273_+	39273	39293	+	internal
TTS0039273_+	39273	39293	+	primary
TTS0040273_+	40273	40293	+	internal
TTS0040273_+	40273	40293	+	secondary
TTS0040371_+	40371	40391	+	primary
TTS0042047_+	42047	42067	+	internal
TTS0044714_+	44714	44734	+	internal
TTS0044794_-	44774	44794	-	antisense
TTS0044865_+	44865	44885	+	internal
TTS0045480_-	45460	45480	-	antisense
TTS0046417_-	46397	46417	-	antisense
TTS0046417_-	46397	46417	-	antisense
TTS0047217_-	47197	47217	-	antisense
TTS0047910_-	47890	47910	-	antisense
TTS0047967_+	47967	47987	+	antisense
TTS0048576_-	48556	48576	-	internal
TTS0048691_+	48691	48711	+	antisense
TTS0049333_-	49313	49333	-	primary
TTS0049368_+	49368	49388	+	primary
TTS0049427_-	49407	49427	-	antisense
TTS0049427_-	49407	49427	-	secondary
TTS0050366_-	50346	50366	-	antisense
TTS0050366_-	50346	50366	-	internal
TTS0050561_-	50541	50561	-	primary
TTS0050699_+	50699	50719	+	primary
TTS0051067_+	51067	51087	+	internal
TTS0051477_-	51457	51477	-	antisense
TTS0052471_-	52451	52471	-	internal
TTS0052653_-	52633	52653	-	internal
TTS0052653_-	52633	52653	-	primary
TTS0053223_-	53203	53223	-	internal
TTS0053357_+	53357	53377	+	antisense
TTS0053565_-	53545	53565	-	internal
TTS0054204_-	54184	54204	-	primary
TTS0054240_+	54240	54260	+	primary
TTS0054386_-	54366	54386	-	antisense
TTS0055068_+	55068	55088	+	internal
TTS0055968_-	55948	55968	-	antisense
TTS0056055_+	56055	56075	+	primary
TTS0058356_-	58336	58356	-	primary
TTS0058412_+	58412	58432	+	antisense
TTS0058771_-	58751	58771	-	primary
TTS0058885_-	58865	58885	-	antisense
TTS0058885_-	58865	58885	-	secondary
TTS0058867_+	58867	58887	+	primary
TTS0058948_-	58928	58948	-	antisense
TTS0061814_-	61794	61814	-	primary
TTS0062590_+	62590	62610	+	primary
TTS0063779_-	63759	63779	-	antisense
TTS0066891_+	66891	66911	+	internal
TTS0068956_-	68936	68956	-	antisense
TTS0070741_-	70721	70741	-	antisense
TTS0072617_+	72617	72637	+	primary
TTS0077628_-	77608	77628	-	antisense
TTS0079714_+	79714	79734	+	primary
TTS0086087_+	86087	86107	+	internal
TTS0086297_-	86277	86297	-	primary
TTS0087072_+	87072	87092	+	antisense
TTS0087072_+	87072	87092	+	secondary
TTS0087160_-	87140	87160	-	primary
TTS0087210_+	87210	87230	+	primary
TTS0087575_+	87575	87595	+	internal
TTS0087575_+	87575	87595	+	primary
TTS0087730_+	87730	87750	+	internal
TTS0089310_+	89310	89330	+	primary
TTS0090052_+	90052	90072	+	primary
TTS0090286_-	90266	90286	-	antisense
TTS0090286_-	90266	90286	-	antisense
TTS0090860_+	90860	90880	+	antisense
TTS0091095_-	91075	91095	-	primary
TTS0091209_-	91189	91209	-	secondary
TTS0092997_-	92977	92997	-	antisense
TTS0093048_+	93048	93068	+	primary
TTS0096027_-	96007	96027	-	primary
TTS0099076_-	99056	99076	-	antisense
TTS0099281_-	99261	99281	-	antisense
TTS0099649_-	99649	99669	+	primary
TTS0101220_-	101200	101220	-	primary
TTS0101734_-	101714	101734	-	primary
TTS0101785_+	101785	101805	+	primary
TTS0102327_-	102307	102327	-	antisense
TTS0102383_+	102383	102403	+	primary
TTS0102530_+	102530	102550	+	internal
TTS0102530_+	102530	102550	+	primary
TTS0102980_+	102980	103000	+	antisense
TTS0102980_+	102980	103000	+	internal
TTS0103412_-	103392	103412	-	primary
TTS0103464_+	103464	103484	+	primary
TTS0106121_-	106101	106121	-	antisense
TTS0106174_+	106174	106194	+	primary
TTS0106772_-	106752	106772	-	antisense
TTS0107695_+	107695	107715	+	internal
TTS0111574_-	111554	111574	-	internal
TTS0111574_-	111554	111574	-	primary
TTS0113034_-	113014	113034	-	primary
TTS0113067_+	113067	113087	+	secondary
TTS0113208_+	113208	113228	+	primary
TTS0113474_-	113454	113474	-	antisense
TTS0114447_+	114447	114467	+	internal
TTS0114447_+	114447	114467	+	primary
TTS0114614_-	114594	114614	-	antisense
TTS0115338_-	115318	115338	-	antisense
TTS0115390_+	115390	115410	+	primary
TTS0116017_-	115997	116017	-	antisense
TTS0116468_-	116448	116468	-	antisense
TTS0116641_-	116621	116641	-	primary
TTS0117111_-	117091	117111	-	internal
TTS0117497_-	117477	117497	-	internal
TTS0117497_-	117477	117497	-	primary
